parkingLotID,Name,Address,numOfParkings,numOfNormalParkings,numOfNormalEmptyParkings,numOfDisableParkings,numOfDisableEmptyParkings,numOfElectricParkings,numOfElectricEmptyParkings,numOfMemberParkings,numOfMemberEmptyParkings,X,Y
1,Achimair parking lot,Achimair Abba 28 Tel Aviv Jaffa,70,50,20,10,7,5,2,5,1,32.12420591,34.80408921
2,Beit Tzuri parking lot,Beit Tzuri 20 Tel Aviv Jaffa,200,180,20,10,7,5,3,5,1,32.12302409,34.80054252
3,Ben Yosef parking lot,Ben Yosef 22 Tel Aviv Jaffa,53,33,0,10,6,5,4,5,1,32.12599489,34.79846017
4,Ben Yosef parking lot 2,Ben Yosef 15 Tel Aviv Jaffa,60,40,0,10,7,5,2,5,1,32.12553422,34.79791919
5,Bnei Dan parking lot,Osishkin 7 Tel Aviv Jaffa,60,40,0,10,7,5,3,5,1,32.09579128,34.77842436
6,Barzani parking lot,Barzani Moshe 15 Tel Aviv Jaffa,40,20,0,10,5,5,4,5,1,32.12837981,34.79821658
7,Golfitec parking lot,Rokach 80 Tel Aviv Jaffa,397,377,100,10,7,5,5,5,1,32.10143068,34.80156435
8,Yehoshua Gardens parking lot,Rokach 94 Tel Aviv Jaffa,1878,1858,100,10,7,5,1,5,1,32.10572687,34.81344791
9,Hard parking lot,Hard 2 Tel Aviv Jaffa,94,74,20,10,7,5,3,5,1,32.11110899,34.84201195
10,The grove parking lot,Isaac Ramba 2 Tel Aviv Jaffa,152,132,20,10,7,5,2,5,2,32.10685349,34.81341563
11,The museum parking lot,Klausner 12 Tel Aviv - Jaffa,581,561,50,10,7,5,4,5,2,32.11365926,34.80755722
12,The nursery parking lot,Moshe Wilensky 55 Tel Aviv Jaffa?,100,80,20,10,3,5,1,5,2,32.12742434,34.83658152
13,Engineering parking lot,George Wise Tel Aviv-Yafo (entrance from the Broadcom building),163,143,20,10,5,5,2,5,2,32.10845563,34.80419613
14,Tel Baruch beach parking lot,"Yitzhak Artzi 34, Tel-Aviv Jaffa",2000,1980,100,10,7,5,4,5,2,32.12275,34.78429182
15,Tagore parking lot,Tagore Alley 38 Tel Aviv Jaffa,153,133,30,10,6,5,5,5,2,32.11692171,34.79780982
16,Yad Avner parking lot,Kommiat 24 Tel Aviv Jaffa,40,20,0,10,7,5,2,5,2,32.11942153,34.80539275
17,Economy parking lot,George Wise 16 Tel Aviv Jaffa,114,94,20,10,3,5,1,5,3,32.10858441,34.80280703
18,Mivtza Kadesh parking lot,"Operation Kadesh, corner of Bnei Ephraim 220 Tel-Aviv Jaffa",350,330,30,10,7,5,4,5,3,32.11366002,34.81615289
19,Social science parking lot,George Weisz corner of Haim Levanon Tel Aviv-Yafo (Complex Un' 493),250,230,50,10,7,5,3,5,3,32.11063509,34.80274747
20,Tudela parking lot,16 Binyamin Matodla Tel Aviv Jaffa,65,45,10,10,2,5,1,5,3,32.10962382,34.82738966
21,Mi veMi parking lot,Moshe Sena 54 Tel Aviv Jaffa,70,50,20,10,7,5,5,5,3,32.12457591,34.82499897
22,College of Administration and Levinsky College parking lot 1,Shoshana Persits 9 Tel Aviv Jaffa,21,20,0,1,1,0,0,0,0,32.13464909,34.7962964
23,College of Administration and Levinsky College parking lot 2,Shoshana Persits 9 Tel Aviv Jaffa,114,94,20,10,0,5,0,5,2,32.13426329,34.79530812
24,College of Administration and Levinsky College parking lot 3,Shoshana Persits 9 Tel Aviv Jaffa,214,194,20,10,4,5,1,5,2,32.13787005,34.79803325
25,Mirsham parking lot,"25 Kalchkin, Tel-Aviv, Jaffa",60,40,0,10,1,5,3,5,2,32.11758625,34.80680724
